Method,nSNP_Brain,Min_F_Brain,Beta_Brain,SE_Brain,P_Brain,OR_Brain,Gene
Wald ratio,1,16.77991383709146,0.11251599567434645,0.12040218331905926,0.35004537067947195,1.1190901573713368,GEMIN2
Wald ratio,1,58.590062848102384,-0.15060710439564956,0.11963450424603142,0.20806878796372574,0.8601855954151479,ACTR10
Wald ratio,1,79.98948672938681,0.022787323934521275,0.05713466751179539,0.6900145432789431,1.0230489383857502,PIGH
Wald ratio,1,114.06071469600525,-0.025681434808911777,0.04446940347175764,0.5635963579879315,0.9746455282976092,TC2N
Wald ratio,1,26.513054493821905,-0.24945734466491035,0.13619861185264281,0.06701545161175182,0.7792235181606626,MOK
Wald ratio,1,19.70773905867515,0.15915492957746477,0.13152702015329837,0.2262577854553991,1.1725195905740853,PPIB
Wald ratio,1,27.617535068803075,0.052491249401829275,0.08071858738409032,0.5154988409255514,1.0538933398410555,MTFMT
Wald ratio,1,31.415052919247575,-0.046280305321458715,0.12022912651159852,0.7002861500906372,0.9547742963623268,COMMD4
Wald ratio,1,33.68406361269128,-0.04863332311413557,0.08122958675012613,0.5493633543650815,0.9525303365290455,FBXO22
IVW,2,19.242306242100202,0.05320769258256766,0.11812071823867648,0.6523846866786771,1.0546486650791098,IREB2
Wald ratio,1,31.618187269456893,-0.09164137784166534,0.12266793349687456,0.4550220717747502,0.9124323093223148,STARD5
Wald ratio,1,34.53928799449866,0.16797142285155958,0.19652287456711476,0.39270789025457375,1.1829028061757128,MAN2A2
Wald ratio,1,23.469652624356602,0.17808594143735512,0.1163315190001008,0.1258068183625749,1.1949280106528708,ATF7IP2
Wald ratio,1,21.171537437567487,-0.18345607507468978,0.1052383658058249,0.08129112656867488,0.8323884375348496,NTAN1
Wald ratio,1,25.431988403868615,-0.22369263211792925,0.10301863529792223,0.029902439080402132,0.7995608559308467,RRN3
Wald ratio,1,25.029641280455706,0.020368774227967696,0.08002274542760975,0.7990804850609468,1.0205776333676744,IQCK
Wald ratio,1,21.377167679217195,-0.027109090246391604,0.12375437381542499,0.826606726518466,0.9732550630982915,COG7
Wald ratio,1,132.80892670891768,0.11255156434787628,0.043377010053118156,0.009466566424224832,1.1191299626317008,EARS2
Wald ratio,1,24.595618414687056,-0.2236559032688592,0.11297782912690983,0.0477435235784891,0.7995902234201603,CDIPT
Wald ratio,1,54.856372744450994,-0.12502669619615892,0.05916554350746252,0.0345864447289308,0.8824733435886436,TBX6
Wald ratio,1,25.096808606518,0.11331970769141778,0.13258392302797756,0.3927162954502741,1.119989945115679,WWOX
Wald ratio,1,23.6130205490798,0.18407644520320576,0.08729138015522991,0.03496542716484563,1.2021077149524557,MLYCD
Wald ratio,1,23.14932832966108,-0.19202821750078775,0.08773413676998676,0.028614911519941222,0.8252835807230334,CRISPLD2
Wald ratio,1,182.51068489910799,0.06511630344220459,0.03635104827680167,0.07324220711811691,1.0672831458698464,SRR
Wald ratio,1,22.5438220024465,0.4186676408952755,0.4097331526951121,0.3068729057091457,1.5199351065616664,ZFP3
Wald ratio,1,38.13754843192862,-0.051257133961015756,0.06265838012645643,0.4133336850242042,0.9500343530263143,SCIMP
Wald ratio,1,39.287550474421465,-0.03775802664316497,0.0797808499643424,0.6360192768779707,0.9629459199594024,KRT17P1
Wald ratio,1,506.68845037168614,0.09617198033649053,0.03658719192020702,0.008574480775852988,1.1009483891878382,LRRC37A4P
Wald ratio,1,148.9492150357093,-0.16489873178118494,0.0472605527162597,0.00048457548602165446,0.8479795731209019,DND1P1
Wald ratio,1,358.29413956373617,-0.14845863266889273,0.04111428715976931,0.0003051634034438866,0.8620356665477713,KANSL1-AS1
Wald ratio,1,323.2088888777258,-0.1393854955243755,0.04063045068593363,0.000602320539498935,0.8698926241006878,LRRC37A2
IVW,2,20.909047684800033,-0.0889602741286405,0.056761444938770694,0.11705256465044256,0.9148819173339106,AKAP1
IVW,2,17.280474461680303,-0.13674413438714775,0.05570784724700819,0.014101571082654862,0.8721933618735719,ACE
Wald ratio,1,35.83265974106815,0.2620927101888742,0.0877861329054541,0.002830391156956269,1.2996470273655818,FDXR
Wald ratio,1,95.49927000128207,0.09979620702944506,0.06927124844380862,0.14968120846667765,1.1049457149594675,FBF1
Wald ratio,1,22.363071234545988,0.03638487559288477,0.08313079599905261,0.6616166230087632,1.0370549068138226,AATK
Wald ratio,1,27.840275407395804,-0.08223204916456835,0.1462458274746174,0.5739208594411784,0.9210582031098548,OXLD1
IVW,2,19.407803868974103,0.02183863872625278,0.1876985824336394,0.9073755460445838,1.0220788472188962,MYL12B
Wald ratio,1,20.288975940957855,-0.08216518296424065,0.12602306009284234,0.5144106538238677,0.9211197928312898,INO80C
Wald ratio,1,60.942311151623215,-0.12331767254680917,0.08302966942304905,0.13748444920581315,0.8839828008844683,EPG5
Wald ratio,1,19.864198987192115,-0.10964430687663329,0.1785092971238788,0.5390687507864653,0.8961528340142415,TXNL1
Wald ratio,1,26.566720621179908,0.0772814355099838,0.2088822180248246,0.7114002728688504,1.080346081362064,WDR7
Wald ratio,1,40.40843182504411,0.05449163225829501,0.07135394603202148,0.44505753814629934,1.0560036400110555,APC2
Wald ratio,1,32.470492344406054,0.11393028627068234,0.09063015544495745,0.20872095127827572,1.1206739957972534,SHD
Wald ratio,1,139.56453544305654,-0.0636635413003011,0.059390253317663615,0.2837412860911206,0.9383206525723109,NWD1
Wald ratio,1,21.803699491849848,-0.2306458026927908,0.16732355781673117,0.16806689489041204,0.7940206562122001,HOMER3
