Method,nSNP,Min_F,Beta,SE,P,OR,Gene
Wald ratio,1,67.223601,1.659796267837541,0.5834704964020002,0.0044453807729163,5.25823946281667,RP11-754B17.1
IVW,2,36.03240729,1.1098906520592595,0.3905729598168387,0.0044873886024163,3.034026611733984,RP11-397E7.4
Wald ratio,1,55.43695936000001,-2.364859192006017,0.833221499946277,0.0045367051068831,0.0939625301124052,C19orf55
Wald ratio,1,1195.3130728900005,-0.4647127638958386,0.1637912203926151,0.0045507339897561,0.6283155541846349,ACTR1B
IVW,4,29.003610250000005,0.358920401002506,0.1266130468167428,0.0045856948959754,1.4317828285578678,NSUN6
Wald ratio,1,457.91292121,-0.8173082167774979,0.2884555093953427,0.0046056526437916,0.4416187980940471,ZBTB32
IVW,2,24.43720356,-4.070437954811654,1.4382848576587015,0.0046538718230377,0.0170699110205376,PYGM
Wald ratio,1,65.820769,-2.98584962406015,1.055107999506964,0.0046562624553205,0.0504965822070156,ZNF33A
Wald ratio,1,50.67161856000002,-2.5800547875927173,0.9127201056417172,0.0047019286215714,0.0757698526612971,RP1-29C18.9
Wald ratio,1,80.80032320999999,-2.275589671706216,0.8078149272992248,0.0048479192742489,0.1027363098752797,CTD-2521M24.5
Wald ratio,1,26.36617104,-2.6049572719482743,0.9260451039962608,0.0049082904782935,0.0739062950020877,RP11-15N24.4
Wald ratio,1,26.030404000000004,-13.89139631517052,4.946878871030968,0.0049832692182933,9.269220946804772e-07,SREBF1
Wald ratio,1,141.68378961000002,-2.110844233855046,0.7526676412027119,0.0050397214471069,0.1211356564304623,TMEM134
IVW,4,36.39467584000001,-0.2319484685623123,0.0827071756237773,0.0050401880829868,0.7929869860132744,LAMC1
IVW,2,184.37023089,0.6360768369555939,0.2270904804992199,0.0050947020944915,1.8890552511040224,MTRF1
IVW,2,29.72539441,1.626614634284899,0.5811934086057721,0.0051300953822281,5.086625450065523,HS1BP3
IVW,4,30.73815364,-0.5860975794229114,0.2094400006322758,0.0051355951627922,0.5564947293264376,ZNF337
Wald ratio,1,193.45193569,-1.1883922293240925,0.4253074694256113,0.0052029009482414,0.3047107754996759,ALPL
Wald ratio,1,822.1065217600002,0.4664805108745692,0.1669955915793585,0.0052161956524072,1.5943729288454505,RP11-325F22.2
Wald ratio,1,30.29952025,-3.090334816967935,1.1065459169770189,0.0052257874671284,0.0454867221283672,AC002398.5
Wald ratio,1,223.26336400000005,-0.8996338241199303,0.3222857850354704,0.0052477912988779,0.4067185630042922,SETDB1
IVW,5,34.72627041000001,0.3201075715583864,0.1148564540060462,0.005319471400522,1.377275912083763,MFN2
IVW,2,23.912099999999995,0.5088352901795432,0.182646181140137,0.0053378169447606,1.6633527430233417,FAM178A
IVW,2,32.98779225000001,-1.6383587282719996,0.5885133144554457,0.0053710571975367,0.1942986776621859,GALNT12
Wald ratio,1,96.26945689,-1.552366378914969,0.5588630716389617,0.005474139200619,0.2117463084959651,CTD-2270L9.4
Wald ratio,1,356.38643524,-0.9223872085262366,0.3330576855844307,0.0056150710870819,0.3975688276618153,ASAP3
Wald ratio,1,157.43473729,-1.0430774748352234,0.3769631235405226,0.005656531291835,0.3523686061123751,AKAP1
IVW,3,30.73482721,-0.9017464327032652,0.3271166116730031,0.0058396589348181,0.4058602328541445,ACTR10
Wald ratio,1,174.98527524000002,-0.9715412830165856,0.3524623909526617,0.0058434408300322,0.3784992138896424,NAB1
IVW,2,24.91307569,0.4371572275461681,0.1588713688937884,0.0059297195721237,1.5482994932500302,CCDC115
Wald ratio,1,26.677225,5.037899709583737,1.832528092933204,0.005974952843796,154.14592359593067,DONSON
IVW,2,44.64377856000001,-0.612127638738816,0.2227815242842627,0.0060022415983154,0.5421960436779557,AP000347.4
Wald ratio,1,46.62841225,-2.1230654462912795,0.7728122135168778,0.0060107481018902,0.1196642413914358,AL353898.3
IVW,5,22.05617296,-0.2821417150383442,0.1027316989894928,0.006025436546694,0.7541668001827021,HEY1
Wald ratio,1,25.205420250000003,-3.695862165122996,1.346676984364107,0.0060615881822643,0.0248260402868061,CTD-2503O16.2
Wald ratio,1,41.00865444000001,8.289099597114213,3.021508167025828,0.00608130572852,3980.248753139512,CTB-133G6.2
Wald ratio,1,429.90290281000006,2.560117680535928,0.9332034667528368,0.00608130572852,12.937339699033132,CTB-133G6.1
IVW,8,22.19917456,-0.6403145964229775,0.2340743816332347,0.0062282250949758,0.5271265658231508,SYTL2
IVW,5,24.47083024,-0.5065641004524964,0.1852024821794043,0.006234415268477,0.602562369909808,PPM1F
Wald ratio,1,624.99000004,-0.6795368122944985,0.2488331746653973,0.0063162946161121,0.50685170548177,GALK1
Wald ratio,1,133.53189136,-1.226541936377168,0.449947696355014,0.0064113682414732,0.2933050936743345,QPCTL
Wald ratio,1,499.1202810000002,-1.0116703818092296,0.3713205407099055,0.0064394955384201,0.3636111026480887,ACOT7
IVW,3,22.40886244,0.5268554339213098,0.1935746104448283,0.00649436035702,1.6935982946858743,FOXN2
Wald ratio,1,218.00227201,-1.5421426491205494,0.5668732602320368,0.0065195812769354,0.2139222497032111,ATF6B
IVW,2,25.10711449,-0.3119312255077998,0.1147624945496444,0.0065666137397812,0.732031871617367,CMSS1
Wald ratio,1,136.69351056,-1.2214609805330323,0.4494242704163673,0.0065710611812721,0.2947991563230877,LZTS2
IVW,2,25.04902401,1.7126190088210138,0.6310483987817209,0.0066490905131286,5.543460855216002,RORC
Wald ratio,1,121.75136281,-1.4527017155907591,0.5355518800808402,0.0066771295276879,0.2339374012144677,PTPN18
IVW,3,24.23789824,-5.01558323574455,1.8520528082006085,0.0067665332847597,0.0066337618616705,GRSF1
IVW,2,25.27877284,1.0478634094037542,0.3882358401603611,0.0069540168769643,2.8515520055304138,RP11-737O24.3
