Method_Brain,nSNP_Brain,Min_F_Brain,Beta_Brain,SE_Brain,P_Brain,OR_Brain,Gene,Method_Blood,nSNP,Min_F,Beta,SE,P,OR,Consistent
Wald ratio,1,24.94089034026875,0.2569697284926662,0.1118145300034408,0.0215516422063732,1.29300598492676,CWC15,IVW,2,232.72112704,0.5201606425334873,0.1953441927333587,0.0077495666954718,1.6822978765863144,True
Wald ratio,1,38.38435414637234,-0.2101860920666013,0.0853525476396328,0.0137947636664035,0.8104334167071999,PPP2R1B,IVW,2,54.09308304,-0.3353852785129417,0.1482446582758761,0.0236741318531599,0.7150625350438072,True
Wald ratio,1,30.255601475004497,0.2452952046199966,0.094502001540481,0.0094409030508544,1.2779985285942743,RCBTB1,IVW,7,22.43632689,0.1597921917456764,0.079978309653629,0.0457227210415245,1.17326703108313,True
Wald ratio,1,21.847454082975062,-0.2273526678180447,0.0723101763435721,0.0016658084404805,0.7966397835292173,ATP7B,IVW,3,103.74033609,-0.5733916587080959,0.2288117685846057,0.0122121669460701,0.5636106184646541,True
Wald ratio,1,28.033008479177308,0.2175518020634629,0.1004092447335974,0.0302614667103504,1.2430298193495417,ANKRD10,IVW,4,24.05019681,0.3009354273869753,0.1198883801535171,0.012068670072951,1.351122093237045,True
Wald ratio,1,25.431988403868612,-0.2236926321179292,0.1030186352979222,0.0299024390804021,0.7995608559308467,RRN3,IVW,2,54.18579321000001,-0.4081754117471107,0.1878495062025495,0.0297889586911992,0.6648622439453388,True
Wald ratio,1,132.80892670891768,0.1125515643478762,0.0433770100531181,0.0094665664242248,1.1191299626317008,EARS2,Wald ratio,1,264.44939161,0.922688628020096,0.3525936575676888,0.0088742443590164,2.5160460160024614,True
Wald ratio,1,24.595618414687056,-0.2236559032688592,0.1129778291269098,0.0477435235784891,0.7995902234201603,CDIPT,Wald ratio,1,98.128836,-1.0449135473450433,0.500540096910963,0.0368364498225013,0.3517222253838997,True
Wald ratio,1,54.856372744450994,-0.1250266961961589,0.0591655435074625,0.0345864447289308,0.8824733435886436,TBX6,Wald ratio,1,649.5718768900001,-0.3867772446020865,0.1830319970808304,0.0345864447289308,0.6792423829831967,True
Wald ratio,1,23.6130205490798,0.1840764452032057,0.0872913801552299,0.0349654271648456,1.2021077149524555,MLYCD,IVW,2,44.54494564,0.7697997224517692,0.3224570707524012,0.0169729273267873,2.15933374440726,True
Wald ratio,1,506.6884503716861,0.0961719803364905,0.036587191920207,0.0085744807758529,1.1009483891878382,LRRC37A4P,IVW,3,44.11085056,0.5101313729149137,0.2031700584608905,0.0120437786383795,1.6655099834754752,True
Wald ratio,1,148.9492150357093,-0.1648987317811849,0.0472605527162597,0.0004845754860216,0.8479795731209019,DND1P1,IVW,2,100.45050625000002,-0.8095104628497064,0.2303930887021882,0.0004420685410222,0.4450758940860305,True
Wald ratio,1,358.29413956373617,-0.1484586326688927,0.0411142871597693,0.0003051634034438,0.8620356665477713,KANSL1-AS1,IVW,5,35.30498724,-0.6303639252891879,0.1848221452049868,0.0006480787047782,0.5323980126460781,True
Wald ratio,1,323.2088888777258,-0.1393854955243755,0.0406304506859336,0.0006023205394989,0.8698926241006878,LRRC37A2,IVW,3,54.55004164000001,-0.5795211535566385,0.1765061282683938,0.0010260234016028,0.5601665361077675,True
IVW,2,17.280474461680303,-0.1367441343871477,0.0557078472470081,0.0141015710826548,0.8721933618735719,ACE,Wald ratio,1,72.59892025,-1.4941366586467928,0.567245607652133,0.0084380349554189,0.2244422914212325,True
Wald ratio,1,35.83265974106815,0.2620927101888742,0.0877861329054541,0.0028303911569562,1.2996470273655818,FDXR,Wald ratio,1,213.51638884,1.173975061934548,0.3932147931180794,0.0028303911569562,3.2348257481239173,True
Wald ratio,1,66.35315496748443,0.154586143522311,0.0599388372714886,0.0099068209716655,1.167174818276987,ZNF181,IVW,2,22.89144025,0.3217483316257638,0.1376490184334258,0.0194155588396498,1.3795375462942432,True
Wald ratio,1,103.82911477526804,-0.1305762728911514,0.0507282229426009,0.0100519808838555,0.8775895541034255,ZNF404,IVW,2,82.58083876,-0.5382902749819803,0.2147952715878518,0.0122084198998142,0.5837454438589831,True
Wald ratio,1,258.27789963664645,0.054625720387533,0.0269521760255431,0.0426864767062153,1.0561452470573127,SULT2B1,IVW,2,74.91768025,0.5300314500447686,0.2344955876899669,0.0238023541419183,1.698985740955936,True
Wald ratio,1,27.8397056538111,0.2066513231914916,0.0865333519018701,0.0169351867600431,1.2295537801422975,ZNF211,IVW,5,23.097636,0.3650972028994218,0.1704486432376009,0.0321952717877014,1.4406540370929664,True
Wald ratio,1,85.02770409702639,-0.1270259915404891,0.0569748053699503,0.0257798819574415,0.8807107812697371,FTCD,IVW,2,42.37879801000001,-0.988571417908938,0.2999510746148847,0.0009815039718803,0.3721078981744655,True
Wald ratio,1,31.365265684946955,0.2691865234950435,0.1251227217717261,0.0314462170095113,1.3088992587433166,LIMK2,Wald ratio,1,47.43490129,1.5243083356322509,0.7286491368170401,0.0364416658631763,4.5919663711391525,True
Wald ratio,1,25.458682873815302,0.2459733648135168,0.1046456634817575,0.0187464107383632,1.2788655102667466,ATF4,Wald ratio,1,234.35935744,0.7575894779473243,0.3296757943143812,0.0215627382134486,2.133128065875551,True
